Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.12602907480409E-07,-3.10617298204974E-07,0.0712599778945153,0,0,0,6.78936360044673,0.0953334118462338,1.10364074354538E-06,-1.6924287473749E-07,0.0953288626670654,2.11141199054294E-08,0.156459291725264,0,0,0,0,0,0,package://oil_description/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://oil_description/meshes/base_link.STL,,SCR7-20-2560-base-1,coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
link1,-1.71990891676971E-05,-0.0294811073190644,0.172812033953378,0,0,0,5.2406136733608,0.0648292633354279,-1.15352455713251E-06,-4.40051546579226E-07,0.0818952183802923,0.00894937370819228,0.0767672187180154,0,0,0,0,0,0,package://oil_description/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link1.STL,,SCR7-20-2560-1-merge-1,coordinate1,axis1,joint1,revolute,0,0,0.2105,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,0
link2,8.38779527037309E-05,0.143900900784665,0.00259683139342703,0,0,0,6.88939404184731,0.182727261215811,1.74508648029479E-05,-4.46433331626517E-05,0.134885419518281,0.036716343715663,0.168241030599921,0,0,0,0,0,0,package://oil_description/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link2.STL,,SCR7-20-2650-2-merge-1,coordinate2,axis2,joint2,revolute,0,-0.2095,0.3005,1.5708,0,0,link1,0,0,-1,0,0,0,0,,,,,,,,0
link3,-1.71788962591073E-05,-0.0294810761514921,0.172812076116232,0,0,0,5.2406150592868,0.0648292604284833,-1.15449795834136E-06,-4.4247230645346E-07,0.0818952272251022,0.00894937477771033,0.0767672282110678,0,0,0,0,0,0,package://oil_description/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link3.STL,,SCR7-20-2560-1-merge-2,coordinate3,axis3,joint3,revolute,0,0.4805,-0.2095,-1.5708,0,0,link2,0,0,-1,0,0,0,0,,,,,,,,0
link4,8.37125518096271E-05,0.14390098810799,0.00259677297824296,0,0,0,6.88938664927084,0.18272730153848,1.73693555884047E-05,-4.45660513919948E-05,0.134885285598236,0.0367163577443013,0.168240903239268,0,0,0,0,0,0,package://oil_description/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link4.STL,,SCR7-20-2650-2-merge-2,coordinate4,axis4,joint4,revolute,0,-0.2095,0.3005,1.5708,0,0,link3,0,0,-1,0,0,0,0,,,,,,,,0
link5,-1.71828041429507E-05,-0.0294810808679672,0.172812069245769,0,0,0,5.24061482822974,0.0648292617532774,-1.15391904203948E-06,-4.41788936027083E-07,0.081895224184908,0.00894937411761489,0.0767672242965342,0,0,0,0,0,0,package://oil_description/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link5.STL,,SCR7-20-2560-1-merge-4,coordinate5,axis5,joint5,revolute,0,0.4805,-0.2095,-1.5708,0,0,link4,0,0,-1,0,0,0,0,,,,,,,,0
link6,8.37609129031107E-05,0.143900936952716,0.00259683399496513,0,0,0,6.88938989622059,0.18272729754521,1.75162807950201E-05,-4.4684612929509E-05,0.134885472534082,0.0367163483643782,0.168241136377011,0,0,0,0,0,0,package://oil_description/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oil_description/meshes/link6.STL,,SCR7-20-2650-2-merge-3,coordinate6,axis6,joint6,revolute,0,-0.2095,0.3005,1.5708,0,0,link5,0,0,-1,0,0,0,0,,,,,,,,0
link7,-7.68425293345267E-10,2.49905878584657E-10,0.0616861346519899,0,0,0,1.18274776395572,0.00947912731189771,-1.3799925474558E-06,-2.41084411319739E-11,0.0094866683690848,4.95597423950793E-11,0.0178779894483615,0,0,0,0,0,0,package://oil_description/meshes/link7.STL,0.898039215686275,0.917647058823529,0.929411764705882,0.25,0,0,0,0,0,0,package://oil_description/meshes/link7.STL,,SCR7-20-2650-flange-1,coordinate7,axis7,joint7,revolute,0,0.4805,-0.2095,-1.5708,0,0,link6,0,0,-1,0,0,0,0,,,,,,,,0
